index,label,prediction
0,1,0
1,1,0
2,1,0
3,1,1
4,1,0
5,1,1
6,1,1
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,1
15,1,1
16,1,0
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,0
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,1
43,1,1
44,1,0
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,0
57,1,0
58,1,0
59,1,0
60,1,1
61,1,0
62,1,0
63,0,1
64,0,0
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,0
73,0,1
74,0,1
75,0,1
76,0,1
77,1,0
78,1,0
79,1,0
80,1,0
81,1,1
82,1,0
83,1,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,0,0
92,0,0
93,0,0
94,0,0
95,0,1
96,0,1
97,0,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,1
103,1,0
104,1,0
105,1,1
106,1,1
107,1,1
108,1,1
109,1,0
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,1
134,0,0
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,0
141,0,0
142,0,1
143,0,0
144,0,1
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,1
159,1,1
160,1,0
161,1,1
162,1,1
163,1,1
164,1,1
165,1,0
166,1,1
167,1,1
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,1
176,1,1
177,1,0
178,1,1
179,1,1
180,1,1
181,1,1
182,1,0
183,1,1
184,1,1
185,1,1
186,1,0
187,1,1
188,1,1
189,1,0
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
