text,label
สู้ๆๆนะคะลาว.พม่า.กัมพูชา.ไทยก็พี่น้องกัน,0
เป็นกำลังใจให้เพื่อนๆชาวพม่านะจากเด็กไทย,0
ผู้ชายคนนี้ทำงานประมงร่วมกับแรงงานพม่าเพื่อนร่วมงานที่เป็นชาวพม่าตรวจพบโควิด แล้วจะให้คนอื่นเขาวินิจฉัยว่าอะไรล่ะครับ,0
ประเทศพม่าโรคสงบแล้วเพราะพวกพม่ามันปล่อยเข้ามาอยู่ในไทยกันหมดแล้วกลายเป็นประเทศพม่าแห่งที่2เลยตายๆ,1
ตอนนี้พม่าเป็นน้อยมากแต่คนไทยเป็นเยอะเพราะไม่ค่อยเชื่อฟังช่วยเหลือสู้ๆครับ,0
จุดไหนที่มีพม่าเยอะๆอีกหน่อยมันก็จะจี้จะฆ่าจะปล้นคนไทยเพราะจะไม่มีอะไรกินอีกหน่อยคนไทยจะตายเพราะพม่า,1
พม่ามาไทย ก็เป็นเพื่อน เป็นพี่น้องกัน อย่าคิดแบ่งคน แบ่งชนชั้น แบ่งประเทศ คน เหมือนกัน อย่าว่าเขาเลยครับ เพื่อนๆ ร่วมทุกข์ ร่วมสุขกันมาหลายๆปีแล้ว จงช่วยกันครับ เจ็บป่วยดูแล ดีที่สุด,0
ขอเป็นกำลังใจให้ทุกคนนะขอให้ผ่านช่วงนี้ไปได้ด่วยดีคะ ไม่ว่าจะเป็นคนประเทศไหนชีวิตคนสำคัณเสมอ ใครๆก็รักชีวิตตัวเอง อย่ามองคนต่างด้าวแบบไร้ค่า อย่าดูถูกเพื่อนร่วมโลก เราก็เป็นคนต่างด้าว เป็นคนลาวที่มาอยู่ไทย เป็นกำลังใจให้ทุกคนทุกประเทศที่เจอเหตุการแบบนี้ เราไม่ได้ติดโควิด แต่เราก็ตกงานเหมือนกัน ถ้าพวกเขาหรือเรารวย คงไม่มาทำงานหาเงินที่ประเทศไทยหรอกค่าของเงินมันต่างกัน อย่ารังเกียจคนต่างด้าว ถ้าพวกคุณยังกินเงินเดือนยังเดินดิน เพราะคนต่างด้าวก็มีชีวิตมีหัวใจ เห็นในกลุ่มอื่นๆเพจอื่นๆที่เขาลงข่าวว่าเมียนมาติดโควิด ด่าพวกเขาสาระพัดสัส แต่ไม่เคยโทษคนประเทศตัวเองเลยที่นำพวกเขามา บางคนรับเขามาก็มาปล่อยตามข้างทาง ทำเหมือนพวกเขาไม่ใช่คน ทำแค่ได้เงินจนไม่สนใจชีวิตของพวกเขา อยากจะบอกคนที่ดูถูกต่างด้าวนะคะ เมื่อพวกคุณยังมีชีวิตมีลมหายใจเดินดินกินเงินเดือน อย่าไปด่าคนอื่นอย่สไปดูถูกประเทศอื่นว่าเป็นประเทศที่สกรปกว่าเขาต่ำ เพราะคนเหล่านั่นแหละที่ทำให้ประเทศไทยมีตึกมีคอนโดมีอพาร์ทเม้น มีทางด่วน มีถนนที่สอาด มีผลไม้ มีอาหารทะเลให้พวกคุณได้ใช้ได้กินได้หลับนอน เพราะนายจ้างส่วนใหญ่เขาจ้างคนพวกนั้นเข้ามาทำงาน ที่พวกคนไทยไม่ยอมทำเลือกแต่งานสบายเงินเดือนหลักแสนนั่งตากแอร์ คนพม่า เมียนมา กัมพูชา ลาวเขาก็คน เหมือนกับพวกคุณ,0
ประกาศล๊อกคาวเลยผู้ว่า เดี๋ยวตายเยอะจะเป็นปัญหาแก้ยาก ต้องเอาเงินไปเผาพม่าอีกให้อยู่แต่ในห้องอย่าให้ออกมาเด็ดขาด,1
คนเหมือนกันแท้ แค่เค้าพูดคนละภาษา แต่อย่างว่าละ พม่า ลาว เวียดนาม เขมร เข้ามาทำงานให้เรายังเรียกต่างด้าว. เยอรมัน สหรัฐฯ อื่นๆเรียกต่างชาติ ต่างกันจริงๆ ทำกับเค้าได้นะ ไม่สงสาร,0
